image,truth,identity
176280.png,True,1673
176420.png,True,4055
176585.png,True,229
176771.png,True,229
176801.png,True,1673
176821.png,True,4055
176975.png,True,229
177135.png,True,97
177159.png,True,298
177205.png,True,229
177235.png,True,1308
177452.png,True,736
177636.png,True,1673
177650.png,True,229
177656.png,True,97
177659.png,True,97
177743.png,True,1004
177749.png,True,4055
177777.png,True,1673
177802.png,True,229
177821.png,True,4055
177867.png,True,1673
177963.png,True,1004
178043.png,True,1004
178056.png,True,229
178110.png,True,4055
178187.png,True,298
178246.png,True,229
178294.png,True,4055
178452.png,True,4055
178534.png,True,1673
178977.png,True,1673
179261.png,True,1004
179365.png,True,1308
179369.png,True,1004
179677.png,True,1308
179817.png,True,229
179824.png,True,1673
179871.png,True,229
179904.png,True,229
179961.png,True,1004
180056.png,True,1308
180366.png,True,97
180420.png,True,97
180485.png,True,1673
180546.png,True,4055
180757.png,True,97
180781.png,True,1308
181225.png,True,97
181293.png,True,478
181362.png,True,229
181585.png,True,1673
181698.png,True,97
181803.png,True,4055
181861.png,True,1004
181973.png,True,1308
181975.png,True,97
182105.png,True,4055
182156.png,True,1004
182218.png,True,3716
182403.png,True,229
183888.png,True,6074
184304.png,True,6891
184528.png,True,8455
184694.png,True,6074
185447.png,True,8455
185476.png,True,6074
185556.png,True,6074
185710.png,True,6074
186323.png,True,6074
186333.png,True,6074
186400.png,True,6074
188204.png,True,6074
188350.png,True,6074
188352.png,True,5013
188432.png,True,8455
188951.png,True,5013
189027.png,True,8455
189057.png,True,5013
189221.png,True,6258
189319.png,True,8455
189341.png,True,6258
189413.png,True,6074
189615.png,True,8455
189752.png,True,6074
190079.png,True,5013
190190.png,True,5013
190352.png,True,8455
190578.png,True,5013
190631.png,True,6258
190732.png,True,6074
190745.png,True,5013
190931.png,True,6074
191109.png,True,6258
191513.png,True,5013
191612.png,True,6074
191741.png,True,8455
192104.png,True,6074
192494.png,True,8455
192513.png,True,6074
192551.png,True,6074
192613.png,True,6258
192652.png,True,8455
192698.png,True,7831
192935.png,True,8455
193220.png,True,8455
193368.png,True,6258
193374.png,True,6074
193798.png,True,6074
193802.png,True,6891
193989.png,True,6074
194041.png,True,5013
194309.png,True,5013
194356.png,True,8455
194683.png,True,5013
194725.png,True,6074
194859.png,True,6074
195167.png,True,7831
195352.png,True,6258
195533.png,True,6258
195637.png,True,6074
195937.png,True,6074
195957.png,True,5013
196050.png,True,6258
196283.png,True,6074
196304.png,True,6258
196536.png,True,5013
197085.png,True,8455
197576.png,True,5013
197683.png,True,5013
198060.png,True,8455
198388.png,True,6258
198694.png,True,8455
198911.png,True,7831
198954.png,True,6074
199199.png,True,5013
199380.png,True,6074
199602.png,True,8455
199777.png,True,5013
199887.png,True,6258
199910.png,True,5013
201233.png,True,8455
201335.png,True,6258
201507.png,True,6074
202086.png,True,5013
202142.png,True,5013
202373.png,True,6891
